Year,CA,ODS,Indicador,Descripción,Value
2015,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.1,"Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma",-2.549167444
2016,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.1,"Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma",-2.564257148
2017,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.1,"Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma",-1.796776232
2018,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.1,"Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma",0.407857198
2011,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,1.139942209
2012,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,-0.176513467
2013,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,-1.555887071
2014,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,-1.081032728
2015,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,-0.947963484
2016,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,-0.727162932
2017,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,0.210429657
2018,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,1.726201911
2011,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,1.352005409
2012,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,0.544753108
2013,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-2.004224435
2014,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-1.688566142
2015,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-1.988942816
2016,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-1.462719117
2017,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-0.993472578
2018,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,1.262574231
2015,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,-1.37987638
2016,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,-0.840081934
2017,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,-0.086411611
2018,"MADRID, COMUNIDAD DE",Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,0.700332912
