Year,CA,ODS,Indicador,DescripciÃ³n,Value
2011,"BALEARS, ILLES",Fin de la pobreza,1.2.1.1,,21.0
2012,"BALEARS, ILLES",Fin de la pobreza,1.2.1.1,,19.9
2013,"BALEARS, ILLES",Fin de la pobreza,1.2.1.1,,19.8
2014,"BALEARS, ILLES",Fin de la pobreza,1.2.1.1,,17.9
2015,"BALEARS, ILLES",Fin de la pobreza,1.2.1.1,,21.7
2016,"BALEARS, ILLES",Fin de la pobreza,1.2.1.1,,15.5
2017,"BALEARS, ILLES",Fin de la pobreza,1.2.1.1,,21.3
2018,"BALEARS, ILLES",Fin de la pobreza,1.2.1.1,,15.4
2010,CANARIAS,Fin de la pobreza,1.2.1.1,,29.7
2011,CANARIAS,Fin de la pobreza,1.2.1.1,,30.1
2012,CANARIAS,Fin de la pobreza,1.2.1.1,,33.6
2013,CANARIAS,Fin de la pobreza,1.2.1.1,,28.4
2014,CANARIAS,Fin de la pobreza,1.2.1.1,,27.6
2015,CANARIAS,Fin de la pobreza,1.2.1.1,,28.5
2016,CANARIAS,Fin de la pobreza,1.2.1.1,,35.0
2017,CANARIAS,Fin de la pobreza,1.2.1.1,,30.5
2018,CANARIAS,Fin de la pobreza,1.2.1.1,,32.1
2010,CANTABRIA,Fin de la pobreza,1.2.1.1,,20.1
2011,CANTABRIA,Fin de la pobreza,1.2.1.1,,16.7
2012,CANTABRIA,Fin de la pobreza,1.2.1.1,,17.7
2013,CANTABRIA,Fin de la pobreza,1.2.1.1,,17.8
2014,CANTABRIA,Fin de la pobreza,1.2.1.1,,20.6
2015,CANTABRIA,Fin de la pobreza,1.2.1.1,,14.9
2016,CANTABRIA,Fin de la pobreza,1.2.1.1,,15.3
2017,CANTABRIA,Fin de la pobreza,1.2.1.1,,17.6
2018,CANTABRIA,Fin de la pobreza,1.2.1.1,,19.9
2010,CASTILLA Y LEÃ“N,Fin de la pobreza,1.2.1.1,,19.5
2011,CASTILLA Y LEÃ“N,Fin de la pobreza,1.2.1.1,,17.6
2012,CASTILLA Y LEÃ“N,Fin de la pobreza,1.2.1.1,,15.9
2013,CASTILLA Y LEÃ“N,Fin de la pobreza,1.2.1.1,,17.5
2014,CASTILLA Y LEÃ“N,Fin de la pobreza,1.2.1.1,,20.4
2015,CASTILLA Y LEÃ“N,Fin de la pobreza,1.2.1.1,,18.3
2016,CASTILLA Y LEÃ“N,Fin de la pobreza,1.2.1.1,,17.7
2017,CASTILLA Y LEÃ“N,Fin de la pobreza,1.2.1.1,,15.4
2018,CASTILLA Y LEÃ“N,Fin de la pobreza,1.2.1.1,,16.1
2010,CASTILLA-LA MANCHA,Fin de la pobreza,1.2.1.1,,28.3
2011,CASTILLA-LA MANCHA,Fin de la pobreza,1.2.1.1,,29.4
2012,CASTILLA-LA MANCHA,Fin de la pobreza,1.2.1.1,,30.0
2013,CASTILLA-LA MANCHA,Fin de la pobreza,1.2.1.1,,31.3
2014,CASTILLA-LA MANCHA,Fin de la pobreza,1.2.1.1,,28.4
2015,CASTILLA-LA MANCHA,Fin de la pobreza,1.2.1.1,,28.5
2016,CASTILLA-LA MANCHA,Fin de la pobreza,1.2.1.1,,31.7
2017,CASTILLA-LA MANCHA,Fin de la pobreza,1.2.1.1,,28.1
2018,CASTILLA-LA MANCHA,Fin de la pobreza,1.2.1.1,,29.9
2010,CATALUÃ‘A,Fin de la pobreza,1.2.1.1,,14.7
2011,CATALUÃ‘A,Fin de la pobreza,1.2.1.1,,14.2
2012,CATALUÃ‘A,Fin de la pobreza,1.2.1.1,,15.8
2013,CATALUÃ‘A,Fin de la pobreza,1.2.1.1,,13.9
2014,CATALUÃ‘A,Fin de la pobreza,1.2.1.1,,15.8
2015,CATALUÃ‘A,Fin de la pobreza,1.2.1.1,,13.9
2016,CATALUÃ‘A,Fin de la pobreza,1.2.1.1,,13.2
2017,CATALUÃ‘A,Fin de la pobreza,1.2.1.1,,15.0
2018,CATALUÃ‘A,Fin de la pobreza,1.2.1.1,,13.6
2010,COMUNITAT VALENCIANA,Fin de la pobreza,1.2.1.1,,22.7
2011,COMUNITAT VALENCIANA,Fin de la pobreza,1.2.1.1,,22.0
2012,COMUNITAT VALENCIANA,Fin de la pobreza,1.2.1.1,,25.0
2013,COMUNITAT VALENCIANA,Fin de la pobreza,1.2.1.1,,23.6
2014,COMUNITAT VALENCIANA,Fin de la pobreza,1.2.1.1,,26.2
2015,COMUNITAT VALENCIANA,Fin de la pobreza,1.2.1.1,,25.3
2016,COMUNITAT VALENCIANA,Fin de la pobreza,1.2.1.1,,24.4
2017,COMUNITAT VALENCIANA,Fin de la pobreza,1.2.1.1,,25.6
2018,COMUNITAT VALENCIANA,Fin de la pobreza,1.2.1.1,,26.0
2010,EXTREMADURA,Fin de la pobreza,1.2.1.1,,35.7
2011,EXTREMADURA,Fin de la pobreza,1.2.1.1,,31.7
2012,EXTREMADURA,Fin de la pobreza,1.2.1.1,,29.4
2013,EXTREMADURA,Fin de la pobreza,1.2.1.1,,30.9
2014,EXTREMADURA,Fin de la pobreza,1.2.1.1,,33.1
2015,EXTREMADURA,Fin de la pobreza,1.2.1.1,,29.0
2016,EXTREMADURA,Fin de la pobreza,1.2.1.1,,30.4
2017,EXTREMADURA,Fin de la pobreza,1.2.1.1,,38.8
2018,EXTREMADURA,Fin de la pobreza,1.2.1.1,,37.6
2010,GALICIA,Fin de la pobreza,1.2.1.1,,18.1
2010,GALICIA,Fin de la pobreza,1.2.1.1,,25.11
2011,GALICIA,Fin de la pobreza,1.2.1.1,,16.1
2011,GALICIA,Fin de la pobreza,1.2.1.1,,21.37
2012,GALICIA,Fin de la pobreza,1.2.1.1,,18.3
2012,GALICIA,Fin de la pobreza,1.2.1.1,,22.45
2013,GALICIA,Fin de la pobreza,1.2.1.1,,17.2
2013,GALICIA,Fin de la pobreza,1.2.1.1,,22.63
2014,GALICIA,Fin de la pobreza,1.2.1.1,,15.4
2014,GALICIA,Fin de la pobreza,1.2.1.1,,21.7
2015,GALICIA,Fin de la pobreza,1.2.1.1,,19.4
2015,GALICIA,Fin de la pobreza,1.2.1.1,,21.61
2016,GALICIA,Fin de la pobreza,1.2.1.1,,19.0
2016,GALICIA,Fin de la pobreza,1.2.1.1,,22.48
2017,GALICIA,Fin de la pobreza,1.2.1.1,,18.7
2017,GALICIA,Fin de la pobreza,1.2.1.1,,21.37
2018,GALICIA,Fin de la pobreza,1.2.1.1,,18.8
2018,GALICIA,Fin de la pobreza,1.2.1.1,,21.32
2010,"MADRID, COMUNIDAD DE",Fin de la pobreza,1.2.1.1,,14.4
2011,"MADRID, COMUNIDAD DE",Fin de la pobreza,1.2.1.1,,14.0
2012,"MADRID, COMUNIDAD DE",Fin de la pobreza,1.2.1.1,,14.2
2013,"MADRID, COMUNIDAD DE",Fin de la pobreza,1.2.1.1,,13.4
2014,"MADRID, COMUNIDAD DE",Fin de la pobreza,1.2.1.1,,14.7
2015,"MADRID, COMUNIDAD DE",Fin de la pobreza,1.2.1.1,,15.1
2016,"MADRID, COMUNIDAD DE",Fin de la pobreza,1.2.1.1,,18.2
2017,"MADRID, COMUNIDAD DE",Fin de la pobreza,1.2.1.1,,16.9
2018,"MADRID, COMUNIDAD DE",Fin de la pobreza,1.2.1.1,,16.1
2014,NAVARRA,Fin de la pobreza,1.2.1.1,,14.84
2015,NAVARRA,Fin de la pobreza,1.2.1.1,,17.0
2016,NAVARRA,Fin de la pobreza,1.2.1.1,,15.78
2017,NAVARRA,Fin de la pobreza,1.2.1.1,,15.91
2018,NAVARRA,Fin de la pobreza,1.2.1.1,,15.52
2010,"NAVARRA, COMUNIDAD FORAL DE",Fin de la pobreza,1.2.1.1,,10.7
2011,"NAVARRA, COMUNIDAD FORAL DE",Fin de la pobreza,1.2.1.1,,8.1
2012,"NAVARRA, COMUNIDAD FORAL DE",Fin de la pobreza,1.2.1.1,,7.0
2013,"NAVARRA, COMUNIDAD FORAL DE",Fin de la pobreza,1.2.1.1,,9.9
2014,"NAVARRA, COMUNIDAD FORAL DE",Fin de la pobreza,1.2.1.1,,11.9
2015,"NAVARRA, COMUNIDAD FORAL DE",Fin de la pobreza,1.2.1.1,,9.6
2016,"NAVARRA, COMUNIDAD FORAL DE",Fin de la pobreza,1.2.1.1,,9.0
2017,"NAVARRA, COMUNIDAD FORAL DE",Fin de la pobreza,1.2.1.1,,8.3
2018,"NAVARRA, COMUNIDAD FORAL DE",Fin de la pobreza,1.2.1.1,,8.9
2010,PAÃS VASCO,Fin de la pobreza,1.2.1.1,,11.7
2011,PAÃS VASCO,Fin de la pobreza,1.2.1.1,,13.8
2012,PAÃS VASCO,Fin de la pobreza,1.2.1.1,,13.3
2013,PAÃS VASCO,Fin de la pobreza,1.2.1.1,,10.5
2014,PAÃS VASCO,Fin de la pobreza,1.2.1.1,,10.2
2015,PAÃS VASCO,Fin de la pobreza,1.2.1.1,,10.9
2016,PAÃS VASCO,Fin de la pobreza,1.2.1.1,,9.0
2017,PAÃS VASCO,Fin de la pobreza,1.2.1.1,,9.7
2018,PAÃS VASCO,Fin de la pobreza,1.2.1.1,,8.6
2010,"RIOJA, LA",Fin de la pobreza,1.2.1.1,,21.2
2011,"RIOJA, LA",Fin de la pobreza,1.2.1.1,,20.6
2012,"RIOJA, LA",Fin de la pobreza,1.2.1.1,,16.8
2013,"RIOJA, LA",Fin de la pobreza,1.2.1.1,,19.3
2014,"RIOJA, LA",Fin de la pobreza,1.2.1.1,,16.2
2015,"RIOJA, LA",Fin de la pobreza,1.2.1.1,,17.1
2016,"RIOJA, LA",Fin de la pobreza,1.2.1.1,,11.9
2017,"RIOJA, LA",Fin de la pobreza,1.2.1.1,,9.7
2018,"RIOJA, LA",Fin de la pobreza,1.2.1.1,,16.6
