Year,CA,ODS,Indicador,Descripción,Value
2010,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.2,Ingreso medio por hora de mujeres,14.78
2011,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.2,Ingreso medio por hora de mujeres,14.57
2012,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.2,Ingreso medio por hora de mujeres,14.8
2013,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.2,Ingreso medio por hora de mujeres,14.95
2014,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.2,Ingreso medio por hora de mujeres,15.44
2015,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.2,Ingreso medio por hora de mujeres,15.45
2016,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.2,Ingreso medio por hora de mujeres,15.17
2017,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.2,Ingreso medio por hora de mujeres,15.59
2010,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.3,Ingreso medio por hora de hombres,17.56
2011,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.3,Ingreso medio por hora de hombres,17.53
2012,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.3,Ingreso medio por hora de hombres,17.65
2013,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.3,Ingreso medio por hora de hombres,17.82
2014,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.3,Ingreso medio por hora de hombres,18.15
2015,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.3,Ingreso medio por hora de hombres,17.87
2016,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.3,Ingreso medio por hora de hombres,17.68
2017,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.5.1.3,Ingreso medio por hora de hombres,17.96
