"Year","CA","ODS","Indicador","Descripción","Value"
2009,"MADRID, COMUNIDAD DE","Fin de la pobreza","1.5.1.a","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","0.14"
2010,"MADRID, COMUNIDAD DE","Fin de la pobreza","1.5.1.a","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","0.06"
2011,"MADRID, COMUNIDAD DE","Fin de la pobreza","1.5.1.a","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","0.05"
2012,"MADRID, COMUNIDAD DE","Fin de la pobreza","1.5.1.a","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","0.03"
2013,"MADRID, COMUNIDAD DE","Fin de la pobreza","1.5.1.a","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0.03"
2014,"MADRID, COMUNIDAD DE","Fin de la pobreza","1.5.1.a","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","0.03"
2015,"MADRID, COMUNIDAD DE","Fin de la pobreza","1.5.1.a","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","0.16"
2016,"MADRID, COMUNIDAD DE","Fin de la pobreza","1.5.1.a","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantesa","0.11"
2017,"MADRID, COMUNIDAD DE","Fin de la pobreza","1.5.1.a","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","0.12"
2018,"MADRID, COMUNIDAD DE","Fin de la pobreza","1.5.1.a","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","0.09"
2019,"MADRID, COMUNIDAD DE","Fin de la pobreza","1.5.1.a","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","0.12"
