"Year","CA","ODS","Indicador","Descripción","Value"
2010,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2","Empleo del sector manufacturero en proporción al empleo total","6.365876193"
2011,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2","Empleo del sector manufacturero en proporción al empleo total","6.026918153"
2012,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2","Empleo del sector manufacturero en proporción al empleo total","5.698024124"
2013,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2","Empleo del sector manufacturero en proporción al empleo total","5.406825871"
2014,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2","Empleo del sector manufacturero en proporción al empleo total","5.238804038"
2015,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2","Empleo del sector manufacturero en proporción al empleo total","5.165567055"
2016,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2","Empleo del sector manufacturero en proporción al empleo total","5.235779365"
2017,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2","Empleo del sector manufacturero en proporción al empleo total","5.26205199"
2018,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2","Empleo del sector manufacturero en proporción al empleo total","5.131498292"
2010,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2.b","Empleo del sector manufacturero en proporción al empleo total (horas)","6.597346349"
2011,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2.b","Empleo del sector manufacturero en proporción al empleo total (horas)","6.350490043"
2012,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2.b","Empleo del sector manufacturero en proporción al empleo total (horas)","5.985749943"
2013,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2.b","Empleo del sector manufacturero en proporción al empleo total (horas)","5.729274187"
2014,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2.b","Empleo del sector manufacturero en proporción al empleo total (horas)","5.52058816"
2015,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2.b","Empleo del sector manufacturero en proporción al empleo total (horas)","5.470147611"
2016,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2.b","Empleo del sector manufacturero en proporción al empleo total (horas)","5.480304646"
2017,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2.b","Empleo del sector manufacturero en proporción al empleo total (horas)","5.512870463"
2018,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.2.2.2.b","Empleo del sector manufacturero en proporción al empleo total (horas)","5.355813785"
